--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|วัสดุ             |คำอธิบายวัสดุ                           |Plnt|SLoc|S|เลขที่สต็อคพิเศษ        |SL|แบทช์     |BUn|         ที่ใช้ได้|     การส่ง/การโอน|ในการตรวจสอบคุณภาพ|    การใช้ที่จำกัด|             ระงับ|            ส่งคืน|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1-00-001-0001     |POLE 8 M.                               |D010|0021| |                        |  |N         |EA |              201 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|0022| |                        |  |N         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|0022| |                        |  |R         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6002| |                        |  |R         |EA |                5 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6003| |                        |  |N         |EA |              118 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6003| |                        |  |R         |EA |                8 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6006| |                        |  |N         |EA |              135 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6006| |                        |  |R         |EA |               27 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6007| |                        |  |N         |EA |               67 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D010|6007| |                        |  |R         |EA |               52 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D020|6001| |                        |  |R         |EA |               16 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D020|6003| |                        |  |N         |EA |               92 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D020|6006| |                        |  |N         |EA |               49 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D020|6006| |                        |  |R         |EA |               26 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D030|2501| |                        |  |R         |EA |                9 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D030|6001| |                        |  |N         |EA |              348 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D030|6002| |                        |  |N         |EA |                8 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D030|6002| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D030|6006| |                        |  |N         |EA |               86 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6001| |                        |  |N         |EA |              618 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6001| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6002| |                        |  |N         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6002| |                        |  |R         |EA |               13 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6003| |                        |  |R         |EA |               10 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6004| |                        |  |N         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6004| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6006| |                        |  |N         |EA |              295 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D040|6006| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D050|6001| |                        |  |N         |EA |              331 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D050|6001| |                        |  |R         |EA |                7 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D050|6002| |                        |  |R         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D050|6004| |                        |  |N         |EA |               80 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D050|6004| |                        |  |R         |EA |               13 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|0021| |                        |  |N         |EA |               14 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|0022| |                        |  |N         |EA |              146 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6001| |                        |  |N         |EA |               63 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6001| |                        |  |R         |EA |               41 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6007| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6008| |                        |  |N         |EA |                8 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6008| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6009| |                        |  |N         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6009| |                        |  |R         |EA |               15 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6010| |                        |  |N         |EA |              100 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6010| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6011| |                        |  |N         |EA |                8 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D060|6011| |                        |  |R         |EA |               42 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D070|6001| |                        |  |N         |EA |              222 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D070|6001| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D070|6002| |                        |  |N         |EA |               69 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D070|6003| |                        |  |N         |EA |              175 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6001| |                        |  |N         |EA |              296 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6001| |                        |  |R         |EA |               24 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6002| |                        |  |N         |EA |               70 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6002| |                        |  |R         |EA |               81 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6003| |                        |  |N         |EA |              415 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D090|6003| |                        |  |R         |EA |              122 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|0021| |                        |  |N         |EA |              461 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6002| |                        |  |N         |EA |              621 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6002| |                        |  |R         |EA |               50 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6003| |                        |  |N         |EA |              282 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6003| |                        |  |R         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6004| |                        |  |N         |EA |               71 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D100|6004| |                        |  |R         |EA |               42 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D110|0021| |                        |  |N         |EA |            1,166 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D110|0021| |                        |  |R         |EA |                4 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D110|0022| |                        |  |N         |EA |               50 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D110|0022| |                        |  |R         |EA |                6 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D110|6003| |                        |  |R         |EA |                7 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D120|0022| |                        |  |N         |EA |              185 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D120|6002| |                        |  |N         |EA |               29 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D120|6003| |                        |  |N         |EA |               56 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D120|6003| |                        |  |R         |EA |                7 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D130|6001| |                        |  |N         |EA |              804 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0001     |POLE 8 M.                               |D130|6001| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|0021| |                        |  |N         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|0021| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|0022| |                        |  |N         |EA |               15 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|0022| |                        |  |R         |EA |                1 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6002| |                        |  |R         |EA |                2 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6003| |                        |  |N         |EA |              145 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6003| |                        |  |R         |EA |                3 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6004| |                        |  |N         |EA |                7 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6004| |                        |  |R         |EA |               10 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6006| |                        |  |N         |EA |               49 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6006| |                        |  |R         |EA |               21 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6007| |                        |  |N         |EA |               74 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6007| |                        |  |R         |EA |               21 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D010|6011| |                        |  |N         |EA |               50 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6001| |                        |  |N         |EA |              185 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6001| |                        |  |R         |EA |               11 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D020|6003| |                        |  |N         |EA |                6 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D030|6001| |                        |  |N         |EA |            1,622 |                0 |                0 |                0 |                0 |                0 |
|1-00-001-0002     |POLE  9 M.                              |D030|6002| |                        |  |N         |EA |               30 |                0 |                0 |                0 |                0 |                0 |
