ผู้ใช้    : E1NPNWSL01                                                                                                                                การไฟฟ้าส่วนภูมิภาค                                                                                                                                วันที่   : 01.05.2026
ไคลเอนท์  : PED-400                                                                                                                           WBS Summary Extract for Budgets                                                                                                                            เวลา     : 10:20:42
โปรแกรม   : ZBUDE005                                                                                                                                                                                                                                                                                     หน้าที่  : 1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ปี|Month|องค์ประกอบ WBS          |  รก.|วัสดุ             |คำอธิบายวัสดุ                           |Purch.Req.|เอกสารซื้อ|Contract No                   |GR/IR Doc |Update by   |PR Date   |           PR Qty|       PR Price/Unit|PO Date   |           PO Qty|       PO Price/Unit|Update dat|กลุ่มการจัดซื้อ|ผู้ขาย    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2026|   12|C-69-D-NPNXX.1000       |    1|1-01-011-0401     |BOLT,MACHINE,HEXAGON,M.16X550 MM.       |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         150.000 |              81.00 |30.01.2026|         150.000 |              81.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    2|1-01-013-0002     |BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         300.000 |              83.60 |30.01.2026|         300.000 |              83.60 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    3|1-01-013-0003     |BOLT,DOUBLE ARMING,ROUND EYE M.16X600MM.|1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         150.000 |             103.00 |30.01.2026|         150.000 |             103.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    4|1-02-026-0301     |PREFORMED D/E, AW 50 SQ.MM.             |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|       2,000.000 |              90.00 |30.01.2026|       2,000.000 |              90.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    5|1-01-021-0304     |THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         600.000 |               8.62 |30.01.2026|         600.000 |               8.62 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    6|1-02-026-0202     |PREFORMED D/E,SAC 22kV 50sq.mm. 21.80mm |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         600.000 |              60.00 |30.01.2026|         600.000 |              60.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    7|1-03-011-0000     |CLAMP,STRAIN,AL 35-70,ACSR 35-50 SQ.MM. |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         500.000 |             116.00 |30.01.2026|         500.000 |             116.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    8|1-09-025-0040     |DROPOUT FUSE CUTOUT COVERS              |1102323069|3002722225|69d06mm011                    |5200028021|E1NPNWSL01  |27.01.2026|         200.000 |             670.00 |30.01.2026|         200.000 |             670.00 |01.05.2026|D06            |233947    |
|2026|   12|C-69-D-NPNXX.1000       |    1|1-00-001-0004     |POLE 12 M.                              |1102323074|3002733126|69d06mm012                    |5200062563|E1NPNWSL01  |27.01.2026|          80.000 |           5,548.00 |20.02.2026|          80.000 |           5,520.00 |01.05.2026|D06            |847281    |
|2026|   12|C-69-D-NPNXX.1000       |    1|1-02-005-0000     |CABLE,AERIAL,AL 22 KV. 1X50 SQ.MM.      |1102323100|3002723767|69d06mm013                    |5200025189|E1NPNWSL01  |27.01.2026|       4,000.000 |             112.00 |03.02.2026|           4.000 |         112,000.00 |01.05.2026|D06            |228390    |
|2026|   12|C-69-D-NPNXX.1000       |    1|1-03-003-0000     |INSULATOR,SPOOL,CLASS 53-2 TIS.227      |1102323114|3002722234|69d06mm016                    |5200019305|E1NPNWSL01  |27.01.2026|         800.000 |              26.00 |30.01.2026|         800.000 |              26.00 |01.05.2026|D06            |232819    |
|2026|   12|C-69-D-NPNXX.1000       |    2|1-03-003-0103     |INSULATOR,STRAIN,CLASS 54-4 TIS.280     |1102323114|3002722234|69d06mm016                    |5200019305|E1NPNWSL01  |27.01.2026|         800.000 |             142.00 |30.01.2026|         800.000 |             142.00 |01.05.2026|D06            |232819    |
|2026|   12|C-69-D-NPNXX.1000       |    3|1-03-002-0000     |INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |1102323114|3002722234|69d06mm016                    |5200019305|E1NPNWSL01  |27.01.2026|         864.000 |             332.00 |30.01.2026|         864.000 |             332.00 |01.05.2026|D06            |232819    |
|2026|   12|C-69-D-NPNXX.1000       |    1|1-02-007-0004     |CABLE,AL,750 V,95 SQ.MM. TIS.293        |1102323519|3002723773|69d06mm017                    |5200025199|E1NPNWSL01  |28.01.2026|       7,000.000 |              66.00 |03.02.2026|       7,000.000 |              66.00 |01.05.2026|D06            |228390    |
|2026|   12|C-69-D-NPNXX.1000       |    1|1-03-001-0002     |INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |1102323529|3002722638|69d06mm018                    |5200019303|E1NPNWSL01  |28.01.2026|         576.000 |             799.00 |30.01.2026|         576.000 |             799.00 |01.05.2026|D06            |840685    |
