14.08.2026                                           การแสดงรายการแบบไดนามิก                                                  1
-------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------
|  วัสดุ        |คำอธิบายวัสดุ                          |Plnt|แบทช์|SLoc|Serial No. |เลขประจำ|ผู้ผลิตสินทรัพย์  |PP|มีผลจาก   |
-------------------------------------------------------------------------------------------------------------------------------
|  1-05-000-0011|TR., 30KVA,1P,22-0.48/0.24KV, SC       |D060|N    |0022|TR69-005515|692346  |CC TRANSFORMER    |01|14.07.2026|
|  1-05-000-0011|TR., 30KVA,1P,22-0.48/0.24KV, SC       |D060|N    |0022|TR69-005516|692347  |CC TRANSFORMER    |01|14.07.2026|
|  1-05-000-0011|TR., 30KVA,1P,22-0.48/0.24KV, SC       |D060|N    |0022|TR69-005517|692348  |CC TRANSFORMER    |01|14.07.2026|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013719|6811350 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013720|6811351 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013721|6811352 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013722|6811353 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013723|6811354 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013724|6811355 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013725|6811356 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013726|6811357 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013727|6811358 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013728|6811359 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0066|TR.,50KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|N    |0021|TR68-013729|6811360 |TIRA THAI         |01|08.08.2025|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |8002|TR68-006965|992804  |THAIPATANAKIT     |01|21.01.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |8002|TR68-006966|992805  |THAIPATANAKIT     |01|21.01.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |8002|TR69-004726|692096  |CC TRANSFORMER    |01|23.06.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005513|692332  |CC TRANSFORMER    |01|05.08.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005514|692333  |CC TRANSFORMER    |01|05.08.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |8002|TR69-005586|692345  |CC TRANSFORMER    |01|05.08.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005520|6906179 |SAHABKANT ELECTRIC|01|01.07.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005751|692381  |CC TRANSFORMER    |01|14.07.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-006090|692617  |CC TRANSFORMER    |01|05.08.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005585|692344  |CC TRANSFORMER    |01|05.08.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-005908|6906346 |SAHABKANT ELECTRIC|01|07.08.2026|
|  1-05-001-0068|TR.,160KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0022|TR69-006120|692706  |CC TRANSFORMER    |01|07.08.2026|
|  1-05-001-0069|TR.,250KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0021|TR68-016397|GI298016|CHAROENCHAI       |01|04.02.2026|
|  1-05-001-0069|TR.,250KVA,3P,22-0.416/0.24KV,DYN11, SC|D060|N    |0021|TR69-001598|6902593 |SAHABKANT ELECTRIC|01|20.03.2026|
-------------------------------------------------------------------------------------------------------------------------------
