30.04.2026                                                การแสดงรายการแบบไดนามิก                                                        1
------------------------------------------------------------------------------------------------------------------------------------------
ข้อกำหนดโครงการ
------------------------------------------------------------------------------------------------------------------------------------------
|Lev|องค์ประกอบ WBS      |ชื่อ                                    |สถานะ                      |โรงงาน|BA  |ผู้สมัคร|วท.ชำระ   |Basic strt|
------------------------------------------------------------------------------------------------------------------------------------------
|  2|C-69-D-AED          |งบผู้ใช้ไฟปี 69 ฉ.1                     |PREL BUDG AVAC  //  Z0     |D000  |D000|        |          |01.01.2026|
|  3|C-69-D-AEDBG.1000   |จัดซื้อพัสดุปี 2569                     |PREL BUDG AVAC  //  A0     |D000  |D000|        |          |          |
|  3|C-69-D-AEDBG.2000   |จัดซื้อผลิตภัณฑ์คอนกรีตปี 2569          |PREL BUDG AVAC  //  A0     |D000  |D000|        |          |          |
|  3|C-69-D-AEDBG.6000   |จัดซื้อพัสดุรองปี 2569                  |PREL BUDG AVAC  //  A0     |D000  |D000|        |          |          |
|  4|C-69-D-BKAXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D130  |D131|        |          |          |
|  4|C-69-D-BPIXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D120  |D121|        |          |          |
|  4|C-69-D-CMPXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D070  |D071|        |          |          |
|  4|C-69-D-IMDXX.2000   |จัดซื้อผลิตภัณฑ์คอนกรีตปี 2569          |REL  BUDG ISBD AVAC  //  B2|D000  |D000|        |          |          |
|  4|C-69-D-IMDXX.6000   |จัดซื้อพัสดุรองปี 2569 - กบพ            |REL  BUDG ISBD AVAC  //  B2|D000  |D000|        |          |          |
|  4|C-69-D-KK2XX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D030  |D036|        |          |          |
|  4|C-69-D-KKNXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D030  |D031|        |          |          |
|  4|C-69-D-KWPXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D010  |D081|        |          |          |
|  4|C-69-D-LOEXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D040  |D041|        |          |          |
|  4|C-69-D-NBPXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D110  |D111|        |          |          |
|  4|C-69-D-NHNXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D090  |D091|        |          |          |
|  4|C-69-D-NKYXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D020  |D021|        |          |          |
|  4|C-69-D-NPNXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D060  |D061|        |          |          |
|  4|C-69-D-PKNXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D100  |D101|        |          |          |
|  1|C-69-D-RAL          |งบผู้ใช้ไฟปี 69 ฉ.1                     |PREL BUDG AVAC  //  Z0     |D000  |D000|        |          |01.01.2026|
|  4|C-69-D-SDDXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D100  |D102|        |          |          |
|  4|C-69-D-SKKXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D050  |D051|        |          |          |
|  4|C-69-D-UD2XX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D010  |D016|        |          |          |
|  4|C-69-D-UDNXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG ISBD AVAC  //  B2|D010  |D011|        |          |          |
|  4|C-69-D-WSPXX.1000   |จัดซื้อพัสดุปี 2569                     |REL  BUDG AVAC  //  B2     |D040  |D042|        |          |          |
|  1|I-68-D-AEDBG        |งบลงทุนปี 2568 จัดซื้อพัสดุ กฟฉ.1       |PREL BUDG AVAC  //  Z0     |D000  |D000|        |          |01.01.2025|
|  2|I-68-D-AEDBG.IQ.AB11|IQ งานแรงต่ำ-จัดซื้อพัสดุขาดแคลน เขต    |PREL BUDG AVAC  //  A0     |D000  |D000|        |          |          |
|  2|I-68-D-AEDBG.IX.AA01|ติดตั้งระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์|CRTD BUDG AVAC  //  A0     |D000  |D000|        |          |          |
|  3|I-68-D-NPN01.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.นาหว้า   |CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPN02.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.ปลาปาก   |CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPN03.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.นาทม     |CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPN04.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.ท่าอุเทน |CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPN05.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.เรณูนคร  |CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPN06.IX.AA01|ซื้อพัสดุมีรหัส Solar #4 - สนง.โพนสวรรค์|CRTD BUDG AVAC  //  A1     |D060  |D061|        |          |          |
|  3|I-68-D-NPNXX.IQ.AB11|จัดซื้อพัสดุขาดแคลน ปป.ระบบจำหน่าย นพ.  |REL  BUDG ISBD AVAC  //  B2|D060  |D061|        |          |          |
------------------------------------------------------------------------------------------------------------------------------------------
